UserId,UserName,Password,Zone,UserRole,FullName
1,A,A,North,Underwriter,UserA
2,B,B,North,Underwriter,UserB
3,C,C,North,Underwriter,UserC
4,D,D,South,Underwriter,UserD
5,E,E,South,Underwriter,UserE
6,F,F,South,Underwriter,UserF
7,G,G,East,Underwriter,UserG
8,H,H,East,Underwriter,UserH
9,I,I,East,Underwriter,UserI
10,J,J,West,Underwriter,UserJ
11,K,K,West,Underwriter,UserK
12,L,L,West,Underwriter,UserL
13,M,M,North,Risk_Manager,UserM
14,N,N,North,Risk_Manager,UserN
15,O,O,North,Risk_Manager,UserO
16,P,P,South,Risk_Manager,UserP
17,Q,Q,South,Risk_Manager,UserQ
18,R,R,South,Risk_Manager,UserR
19,S,S,East,Risk_Manager,UserS
20,T,T,East,Risk_Manager,UserT
21,U,U,East,Risk_Manager,UserU
22,V,V,West,Risk_Manager,UserV
23,W,W,West,Risk_Manager,UserW
24,X,X,West,Risk_Manager,UserX
25,AA,AA,North,Legal_Manager,UserAA
26,BB,BB,North,Legal_Manager,UserBB
27,CC,CC,North,Legal_Manager,UserCC
28,DD,DD,South,Legal_Manager,UserDD
29,EE,EE,South,Legal_Manager,UserEE
30,FF,FF,South,Legal_Manager,UserFF
31,GG,GG,East,Legal_Manager,UserGG
32,HH,HH,East,Legal_Manager,UserHH
33,II,II,East,Legal_Manager,UserII
34,JJ,JJ,West,Legal_Manager,UserJJ
35,KK,KK,West,Legal_Manager,UserKK
36,LL,LL,West,Legal_Manager,UserLL
37,MM,MM,North,Finance_Manager,UserMM
38,NN,NN,North,Finance_Manager,UserNN
39,OO,OO,North,Finance_Manager,UserOO
40,PP,PP,South,Finance_Manager,UserPP
41,QQ,QQ,South,Finance_Manager,UserQQ
42,RR,RR,South,Finance_Manager,UserRR
43,SS,SS,East,Finance_Manager,UserSS
44,TT,TT,East,Finance_Manager,UserTT
45,UU,UU,East,Finance_Manager,UserUU
46,VV,VV,West,Finance_Manager,UserVV
47,WW,WW,West,Finance_Manager,UserWW
48,XX,XX,West,Finance_Manager,UserXX
